id_sinistro,id_polizza,data_denuncia,tipo_danno,tipo_modulo_cai,regione_sinistro,importo_stimato_perito,importo_indennizzo_liquidato,esito_sinistro,data_offerta,data_accettazione_danneggiato,data_liquidazione
946,1073,2024-06-12,Corpi di veicoli terrestri,,Abruzzo,3914.2,,aperto,,,
947,4242,2025-09-05,Incendio ed elementi naturali,,Liguria,8973.68,,in_contenzioso,2025-09-26,,
948,1322,2025-11-15,Incendio ed elementi naturali,,Puglia,9798.11,,aperto,,,
949,3559,2024-07-08,RC generale,,Abruzzo,10910.43,,aperto,,,
950,1637,2025-02-20,Corpi di veicoli terrestri,,Umbria,4860.91,,aperto,,,
951,3992,2026-02-11,Incendio ed elementi naturali,,Lazio,17250.91,17119.73,liquidato,2026-02-27,2026-03-11,2026-03-25
952,354,2026-07-12,Incendio ed elementi naturali,,Toscana,7273.36,,in_contenzioso,2026-08-25,,
953,965,2026-08-10,Incendio ed elementi naturali,,Sardegna,7004.35,,aperto,,,
954,4204,2026-05-12,Corpi di veicoli terrestri,,Puglia,4596.31,4156.71,liquidato,2026-06-29,2026-07-01,2026-07-13
955,3896,2025-11-14,Corpi di veicoli terrestri,,Veneto,5504.5,,in_contenzioso,2025-12-10,,
956,2483,2026-03-27,RC autoveicoli terrestri,unilaterale,Puglia,3281.37,3198.66,liquidato,2026-05-15,2026-05-19,2026-05-30
957,2674,2024-05-05,Altri danni ai beni,,Friuli-Venezia Giulia,1673.36,1460.12,liquidato,2024-06-11,2024-06-28,2024-07-06
958,2150,2024-02-28,RC autoveicoli terrestri,unilaterale,Lazio,3952.11,3881.38,liquidato,2024-04-15,2024-04-24,2024-04-27
959,813,2024-04-24,RC autoveicoli terrestri,congiunto,Veneto,4193.28,3955.75,liquidato,2024-05-09,2024-05-20,2024-05-30
960,2629,2025-11-10,Incendio ed elementi naturali,,Sardegna,200,,aperto,,,
961,1283,2023-09-15,Corpi di veicoli terrestri,,Liguria,4177.09,3692.56,liquidato,2023-11-13,2023-11-25,2023-12-03
962,2026,2023-12-27,RC generale,,Lombardia,12108.58,11681.67,liquidato,2024-01-27,2024-02-10,2024-02-20
963,1217,2025-07-09,RC autoveicoli terrestri,unilaterale,Molise,6673.86,6487.5,liquidato,2025-07-24,2025-08-11,2025-08-14
964,1483,2026-03-06,Incendio ed elementi naturali,,Trentino-Alto Adige,12829.85,11885.46,liquidato,2026-04-29,2026-05-01,2026-05-11
965,1116,2026-07-09,RC generale,,Basilicata,5397.14,5014.01,liquidato,2026-08-13,2026-08-25,2026-09-01
966,1494,2025-04-29,RC generale,,Friuli-Venezia Giulia,9010.56,8507.9,liquidato,2025-05-30,2025-06-10,2025-06-24
967,2464,2024-03-06,Altri danni ai beni,,Liguria,2000.59,1823.61,liquidato,2024-04-05,2024-04-07,2024-04-21
968,1918,2026-01-29,Incendio ed elementi naturali,,Veneto,14823.59,14398.76,liquidato,2026-03-29,2026-04-15,2026-04-28
969,3404,2023-06-19,Corpi di veicoli terrestri,,Lombardia,,,in_contenzioso,2023-07-29,,
970,2154,2024-03-14,RC autoveicoli terrestri,congiunto,Abruzzo,8508.02,8476.13,liquidato,2024-03-26,2024-04-09,2024-04-13
971,274,2025-08-03,RC generale,,Valle d'Aosta,841.96,590.07,liquidato,2025-08-29,2025-09-17,2025-09-26
972,1471,2025-08-24,RC autoveicoli terrestri,unilaterale,Calabria,10950.25,10653.85,liquidato,2025-09-24,2025-10-05,2025-10-11
973,3907,2026-07-15,RC generale,,Friuli-Venezia Giulia,15187.65,15048.69,liquidato,2026-07-27,2026-08-07,2026-08-11
974,4157,2024-10-07,Corpi di veicoli terrestri,,Basilicata,4849.0,,respinto,,,
975,1481,2026-08-02,RC autoveicoli terrestri,unilaterale,Friuli-Venezia Giulia,5241.89,5221.33,liquidato,2026-09-11,2026-09-26,2026-09-29
976,4268,2024-02-24,Corpi di veicoli terrestri,,Sicilia,4873.2,4619.8,liquidato,2024-04-06,2024-04-16,2024-04-27
977,3394,2025-12-16,RC generale,,Molise,16953.31,,respinto,,,
978,582,2026-03-18,Incendio ed elementi naturali,,Toscana,6914.83,6242.12,liquidato,2026-04-26,2026-04-29,2026-05-12
979,3137,2026-06-19,RC autoveicoli terrestri,unilaterale,Sardegna,2564.21,,aperto,,,
980,1225,2025-05-02,RC generale,,Marche,7682.04,7148.59,liquidato,2025-05-18,2025-05-27,2025-06-10
981,321,2025-12-28,Corpi di veicoli terrestri,,Sicilia,2397.13,,aperto,,,
982,2743,2024-10-01,RC autoveicoli terrestri,congiunto,Marche,11763.13,11570.26,liquidato,2024-10-18,2024-10-21,2024-10-28
983,1268,2025-06-30,Incendio ed elementi naturali,,Sardegna,20286.28,19399.09,liquidato,2025-08-19,2025-08-20,2025-09-04
984,3562,2024-01-27,RC autoveicoli terrestri,unilaterale,Lombardia,4423.88,,respinto,,,
985,175,2025-08-19,RC generale,,Campania,11957.75,11885.42,liquidato,2025-09-24,2025-09-27,2025-10-07
986,4163,2023-08-29,Altri danni ai beni,,Veneto,1948.92,1792.88,liquidato,2023-10-17,2023-11-05,2023-11-09
987,1177,2025-05-18,RC autoveicoli terrestri,unilaterale,Sardegna,12985.75,13323.76,liquidato,2025-06-15,2025-06-21,2025-06-29
988,697,2024-02-29,RC autoveicoli terrestri,unilaterale,Sardegna,6643.35,,in_contenzioso,2024-04-02,,
989,2685,2023-11-22,Altri danni ai beni,,Basilicata,2146.59,2076.71,liquidato,2023-12-27,2023-12-31,2024-01-09
990,1117,2025-03-02,Altri danni ai beni,,Lazio,1747.8,1679.45,liquidato,2025-03-19,2025-03-21,2025-04-05
991,365,2026-03-04,Corpi di veicoli terrestri,,Marche,3374.45,2945.19,liquidato,2026-04-18,2026-04-27,2026-05-09
992,2650,2025-10-08,RC generale,,Trentino-Alto Adige,9838.31,9596.29,liquidato,2025-10-26,2025-11-03,2025-11-07
993,1854,2023-07-14,Altri danni ai beni,,Molise,2633.04,2482.63,liquidato,2023-07-25,2023-08-02,2023-08-12
994,2443,2025-10-17,Corpi di veicoli terrestri,,Friuli-Venezia Giulia,4725.06,,respinto,,,
995,1532,2026-06-20,Incendio ed elementi naturali,,Sicilia,332.15,0.0,liquidato,2026-08-10,2026-08-27,2026-09-05
996,2375,2025-04-01,Corpi di veicoli terrestri,,Sardegna,4514.56,4180.77,liquidato,2025-05-04,2025-05-16,2025-05-29
997,138,2023-12-11,Altri danni ai beni,,Sardegna,2331.32,2143.1,liquidato,2024-02-02,2024-02-21,2024-02-29
998,1568,2024-12-05,Incendio ed elementi naturali,,Veneto,1672.76,1143.49,liquidato,2024-12-15,2025-01-03,2025-01-12
999,3998,2024-06-14,Incendio ed elementi naturali,,Basilicata,22148.66,21259.57,liquidato,2024-08-05,2024-08-09,2024-08-16
1000,577,2026-03-06,Corpi di veicoli terrestri,,Lombardia,200,0.0,liquidato,2026-04-27,2026-05-12,2026-05-16
1001,3519,2026-01-30,Altri danni ai beni,,Emilia-Romagna,,,aperto,,,
1002,2346,2025-07-14,RC autoveicoli terrestri,congiunto,Trentino-Alto Adige,12131.77,12000.65,liquidato,2025-07-25,2025-08-12,2025-08-21
1003,1437,2026-05-26,RC generale,,Sicilia,2578.46,2284.15,liquidato,2026-06-14,2026-07-04,2026-07-07
1004,2640,2023-09-26,RC generale,,Abruzzo,11853.12,11249.03,liquidato,2023-10-07,2023-10-20,2023-10-30
1005,1177,2025-06-21,RC autoveicoli terrestri,unilaterale,Sardegna,6657.47,6790.57,liquidato,2025-07-01,2025-07-10,2025-07-23
1006,4035,2025-07-11,Incendio ed elementi naturali,,Puglia,605.3,,in_contenzioso,2025-09-08,,
1007,1540,2025-01-14,RC generale,,Abruzzo,5705.26,5322.85,liquidato,2025-02-22,2025-02-27,2025-03-02
1008,3958,2026-06-02,Altri danni ai beni,,Trentino-Alto Adige,654.52,,respinto,,,
1009,1063,2025-02-22,Altri danni ai beni,,Sicilia,1396.81,1281.79,liquidato,2025-04-19,2025-05-07,2025-05-13
1010,3234,2024-03-03,RC generale,,Molise,11377.17,11375.55,liquidato,2024-04-09,2024-04-16,2024-04-23
1011,3732,2025-03-22,Altri danni ai beni,,Lazio,2317.52,2270.18,liquidato,2025-04-17,2025-05-01,2025-05-08
1012,2978,2024-06-20,Corpi di veicoli terrestri,,Liguria,2723.29,2236.93,liquidato,2024-08-19,2024-08-30,2024-09-13
1013,698,2025-06-10,RC autoveicoli terrestri,congiunto,Umbria,229.82,,aperto,,,
1014,161,2024-06-21,RC generale,,Friuli-Venezia Giulia,9273.22,8775.93,liquidato,2024-08-18,2024-09-05,2024-09-08
1015,1978,2024-04-02,Corpi di veicoli terrestri,,Sicilia,3307.43,3228.88,liquidato,2024-05-12,2024-05-25,2024-06-05
1016,3214,2023-09-21,RC generale,,Trentino-Alto Adige,7572.0,7183.64,liquidato,2023-10-23,2023-11-07,2023-11-17
1017,2881,2024-05-19,Corpi di veicoli terrestri,,Friuli-Venezia Giulia,5482.78,5358.8,liquidato,2024-06-07,2024-06-23,2024-07-03
1018,709,2026-06-22,RC autoveicoli terrestri,congiunto,Lazio,813.72,507.93,liquidato,2026-07-16,2026-07-25,2026-07-30
1019,1418,2023-11-10,RC generale,,Piemonte,13089.87,12533.49,liquidato,2024-01-09,2024-01-18,2024-01-30
1020,621,2024-12-27,Incendio ed elementi naturali,,Campania,10633.19,,respinto,,,
1021,2607,2025-10-27,Altri danni ai beni,,Emilia-Romagna,1903.78,1677.75,liquidato,2025-12-13,2025-12-26,2026-01-09
1022,3073,2026-02-06,Altri danni ai beni,,Umbria,2351.77,,aperto,,,
1023,2878,2025-05-03,Corpi di veicoli terrestri,,Friuli-Venezia Giulia,883.88,,in_contenzioso,2025-06-23,,
1024,512,2025-06-21,Corpi di veicoli terrestri,,Basilicata,653.32,152.0,liquidato,2025-08-04,2025-08-09,2025-08-19
1025,3532,2025-02-17,Corpi di veicoli terrestri,,Trentino-Alto Adige,4461.12,,aperto,,,
1026,556,2026-05-08,Altri danni ai beni,,Puglia,200,100.81,liquidato,2026-06-01,2026-06-09,2026-06-23
1027,4180,2024-07-14,Altri danni ai beni,,Lombardia,2972.21,2740.93,liquidato,2024-09-03,2024-09-08,2024-09-20
1028,1634,2024-08-17,RC generale,,Lazio,5764.64,5452.85,liquidato,2024-09-25,2024-10-06,2024-10-15
1029,2844,2023-06-12,Altri danni ai beni,,Abruzzo,3803.52,,aperto,,,
1030,1005,2024-12-17,Incendio ed elementi naturali,,Friuli-Venezia Giulia,15732.44,,aperto,,,
1031,708,2024-06-03,RC autoveicoli terrestri,congiunto,Valle d'Aosta,9956.5,,aperto,,,
1032,65,2025-08-25,Corpi di veicoli terrestri,,Calabria,4403.24,3813.51,liquidato,2025-10-15,2025-10-28,2025-11-02
1033,2137,2024-01-06,Altri danni ai beni,,Veneto,209.23,,respinto,,,
1034,3945,2026-08-20,RC generale,,Toscana,200,0.0,liquidato,2026-09-08,2026-09-26,2026-10-11
1035,551,2026-07-20,RC generale,,Veneto,3376.96,3158.13,liquidato,2026-08-07,2026-08-13,2026-08-23
1036,264,2025-12-19,RC generale,,Lombardia,10925.04,10340.88,liquidato,2026-01-26,2026-01-31,2026-02-04
1037,1967,2026-07-23,Incendio ed elementi naturali,,Friuli-Venezia Giulia,16580.5,15900.78,liquidato,2026-09-11,2026-09-25,2026-10-09
1038,1675,2024-12-03,Incendio ed elementi naturali,,Liguria,6505.31,6344.31,liquidato,2024-12-18,2024-12-27,2025-01-05
1039,547,2025-02-03,Altri danni ai beni,,Emilia-Romagna,1909.06,,aperto,,,
1040,4055,2026-05-08,Incendio ed elementi naturali,,Sicilia,2313.67,1297.98,liquidato,2026-06-07,2026-06-17,2026-06-25
1041,895,2026-01-22,Corpi di veicoli terrestri,,Marche,4365.49,3884.08,liquidato,2026-03-09,2026-03-16,2026-03-23
1042,1934,2024-12-02,RC autoveicoli terrestri,congiunto,Lazio,8672.61,8347.28,liquidato,2024-12-12,2024-12-26,2025-01-02
1043,3956,2026-08-03,Altri danni ai beni,,Trentino-Alto Adige,1444.68,1337.34,liquidato,2026-08-25,2026-08-29,2026-09-04
1044,2729,2025-08-22,Corpi di veicoli terrestri,,Calabria,4112.3,3505.74,liquidato,2025-10-12,2025-10-27,2025-11-01
1045,3610,2026-08-24,Incendio ed elementi naturali,,Emilia-Romagna,18639.45,18178.29,liquidato,2026-09-24,2026-09-26,2026-10-01
1046,3634,2025-03-26,RC generale,,Molise,4564.96,4078.13,liquidato,2025-04-11,2025-04-13,2025-04-22
1047,3973,2025-05-11,Incendio ed elementi naturali,,Valle d'Aosta,15447.28,,aperto,,,
1048,2221,2025-01-20,Incendio ed elementi naturali,,Emilia-Romagna,21028.11,,aperto,,,
1049,3605,2026-03-08,RC generale,,Umbria,8938.57,,respinto,,,
1050,122,2024-06-14,RC autoveicoli terrestri,congiunto,Toscana,6096.56,6007.38,liquidato,2024-07-10,2024-07-21,2024-07-31
1051,2834,2024-05-22,RC autoveicoli terrestri,congiunto,Emilia-Romagna,3904.0,3523.03,liquidato,2024-06-15,2024-06-25,2024-07-06
1052,4176,2026-08-11,Altri danni ai beni,,Lombardia,2971.27,,in_contenzioso,2026-09-02,,
1053,2724,2024-09-14,RC autoveicoli terrestri,congiunto,Trentino-Alto Adige,10014.93,9871.65,liquidato,2024-10-08,2024-10-21,2024-11-03
1054,1577,2023-08-14,RC autoveicoli terrestri,unilaterale,Sardegna,14517.78,,aperto,,,
1055,2782,2024-03-23,RC autoveicoli terrestri,unilaterale,Basilicata,6256.77,6387.89,liquidato,2024-04-07,2024-04-13,2024-04-27
1056,275,2026-03-27,Altri danni ai beni,,Veneto,1309.57,1085.13,liquidato,2026-04-23,2026-04-25,2026-05-01
1057,3921,2026-04-18,Altri danni ai beni,,Trentino-Alto Adige,3315.27,3271.96,liquidato,2026-04-30,2026-05-05,2026-05-09
1058,3370,2024-01-18,RC autoveicoli terrestri,congiunto,Lazio,3461.61,3442.31,liquidato,2024-02-03,2024-02-14,2024-02-25
1059,2492,2024-02-02,Incendio ed elementi naturali,,Sardegna,200,,aperto,,,
1060,1802,2023-12-22,Altri danni ai beni,,Veneto,1321.1,,aperto,,,
1061,2029,2025-04-23,Corpi di veicoli terrestri,,Abruzzo,1464.73,1344.05,liquidato,2025-05-22,2025-05-27,2025-06-07
1062,4125,2024-06-04,Incendio ed elementi naturali,,Veneto,12117.34,11547.67,liquidato,2024-07-10,2024-07-18,2024-07-25
1063,4196,2026-05-07,RC generale,,Veneto,,4564.59,liquidato,2026-05-28,2026-06-12,2026-06-22
1064,2919,2026-03-20,Corpi di veicoli terrestri,,Umbria,5904.48,5903.65,liquidato,2026-05-12,2026-05-21,2026-05-24
1065,3512,2025-01-18,RC generale,,Piemonte,7392.26,6885.01,liquidato,2025-02-24,2025-03-05,2025-03-17
1066,3753,2024-04-12,RC generale,,Sardegna,10219.15,9826.01,liquidato,2024-05-07,2024-05-19,2024-05-28
1067,1771,2026-05-20,RC generale,,Piemonte,5442.48,5084.54,liquidato,2026-07-03,2026-07-10,2026-07-13
1068,2453,2026-06-15,Incendio ed elementi naturali,,Sicilia,14532.21,13791.28,liquidato,2026-08-11,2026-08-25,2026-08-29
1069,1790,2026-05-24,RC generale,,Veneto,12609.44,,aperto,,,
1070,1677,2026-04-04,Altri danni ai beni,,Piemonte,2308.18,2057.7,liquidato,2026-05-23,2026-06-02,2026-06-15
1071,3879,2026-03-29,Corpi di veicoli terrestri,,Friuli-Venezia Giulia,2904.59,2539.59,liquidato,2026-04-22,2026-04-25,2026-05-09
1072,4217,2024-06-30,Corpi di veicoli terrestri,,Basilicata,2657.28,,respinto,,,
1073,3579,2025-12-31,Altri danni ai beni,,Marche,2476.1,2362.4,liquidato,2026-01-16,2026-01-25,2026-02-01
1074,1173,2024-11-16,Corpi di veicoli terrestri,,Sardegna,4920.47,4845.62,liquidato,2025-01-10,2025-01-12,2025-01-26
1075,1871,2026-06-23,Incendio ed elementi naturali,,Campania,10740.11,9980.37,liquidato,2026-07-20,2026-07-23,2026-08-04
1076,2452,2024-01-28,Altri danni ai beni,,Marche,3451.58,3409.6,liquidato,2024-03-20,2024-03-24,2024-04-03
1077,3199,2025-03-11,RC generale,,Sardegna,7603.77,7246.42,liquidato,2025-03-31,2025-04-17,2025-04-30
1078,4108,2025-07-22,Incendio ed elementi naturali,,Veneto,16676.55,16234.39,liquidato,2025-08-02,2025-08-04,2025-08-18
1079,3711,2025-04-22,Corpi di veicoli terrestri,,Piemonte,200,0.0,liquidato,2025-05-21,2025-06-09,2025-06-14
1080,300,2026-07-02,Altri danni ai beni,,Piemonte,918.64,708.27,liquidato,2026-08-03,2026-08-22,2026-09-03
1081,3749,2024-01-23,Incendio ed elementi naturali,,Basilicata,16379.91,16181.79,liquidato,2024-02-02,2024-02-16,2024-02-26
1082,2200,2024-11-02,Corpi di veicoli terrestri,,Veneto,4430.79,3918.75,liquidato,2024-12-25,2024-12-26,2025-01-01
1083,378,2026-05-25,RC autoveicoli terrestri,congiunto,Calabria,7033.24,,aperto,,,
1084,4119,2026-06-10,Corpi di veicoli terrestri,,Campania,5127.94,4688.49,liquidato,2026-07-24,2026-08-07,2026-08-14
1085,4247,2024-12-14,Altri danni ai beni,,Puglia,2380.33,2259.83,liquidato,2024-12-26,2025-01-02,2025-01-17
1086,3211,2026-04-29,Incendio ed elementi naturali,,Molise,14142.13,13309.32,liquidato,2026-05-26,2026-06-02,2026-06-11
1087,2014,2026-01-21,Altri danni ai beni,,Toscana,407.43,203.22,liquidato,2026-02-27,2026-03-19,2026-03-30
1088,3062,2023-05-06,Corpi di veicoli terrestri,,Valle d'Aosta,3942.33,,respinto,,,
1089,3528,2025-12-25,RC autoveicoli terrestri,congiunto,Trentino-Alto Adige,6050.49,,aperto,,,
1090,2888,2025-04-03,Altri danni ai beni,,Molise,2462.86,2319.61,liquidato,2025-05-18,2025-06-01,2025-06-11
1091,3601,2023-05-12,Altri danni ai beni,,Umbria,1455.27,1364.47,liquidato,2023-06-04,2023-06-06,2023-06-12
1092,622,2024-07-03,Altri danni ai beni,,Sicilia,2722.6,2450.19,liquidato,2024-08-28,2024-09-15,2024-09-29
1093,915,2026-04-18,Incendio ed elementi naturali,,Campania,13337.1,12843.11,liquidato,2026-06-14,2026-06-27,2026-07-08
1094,4297,2026-07-31,Incendio ed elementi naturali,,Emilia-Romagna,7266.51,6892.08,liquidato,2026-09-06,2026-09-24,2026-09-27
1095,3304,2024-08-18,Corpi di veicoli terrestri,,Sardegna,3484.8,2952.12,liquidato,2024-09-21,2024-10-04,2024-10-10
1096,1719,2024-05-22,Altri danni ai beni,,Puglia,2730.12,2485.92,liquidato,2024-06-08,2024-06-28,2024-07-03
1097,1152,2025-08-16,Altri danni ai beni,,Campania,3756.2,3597.17,liquidato,2025-08-29,2025-09-18,2025-10-02
1098,1524,2025-10-09,Corpi di veicoli terrestri,,Veneto,925.69,634.59,liquidato,2025-12-03,2025-12-19,2026-01-02
1099,758,2026-08-22,RC generale,,Puglia,2380.95,,aperto,,,
1100,4050,2024-10-30,Altri danni ai beni,,Basilicata,2254.57,2014.97,liquidato,2024-11-14,2024-11-19,2024-12-01
1101,1064,2024-12-16,Incendio ed elementi naturali,,Valle d'Aosta,12637.27,,respinto,,,
1102,3886,2026-02-02,Altri danni ai beni,,Basilicata,2770.36,2500.86,liquidato,2026-03-04,2026-03-20,2026-04-03
1103,642,2026-02-24,Corpi di veicoli terrestri,,Emilia-Romagna,2376.85,,in_contenzioso,2026-04-12,,
1104,2558,2025-06-07,Incendio ed elementi naturali,,Liguria,11048.44,,respinto,,,
1105,718,2024-10-02,RC autoveicoli terrestri,unilaterale,Piemonte,10379.95,,aperto,,,
1106,3736,2025-01-26,Corpi di veicoli terrestri,,Abruzzo,2667.66,,in_contenzioso,2025-03-02,,
1107,512,2024-12-20,Corpi di veicoli terrestri,,Basilicata,634.48,,aperto,,,
1108,2618,2026-08-02,RC generale,,Emilia-Romagna,3222.77,3008.35,liquidato,2026-09-06,2026-09-26,2026-10-08
1109,1239,2025-08-11,Corpi di veicoli terrestri,,Toscana,5120.32,4967.47,liquidato,2025-09-29,2025-10-16,2025-10-28
1110,2810,2026-07-03,RC autoveicoli terrestri,unilaterale,Trentino-Alto Adige,13381.1,12719.09,liquidato,2026-09-01,2026-09-19,2026-10-01
1111,615,2026-06-07,RC generale,,Toscana,13811.57,13900.53,liquidato,2026-07-30,2026-08-15,2026-08-22
1112,3603,2025-10-03,Altri danni ai beni,,Veneto,3088.73,2954.48,liquidato,2025-11-30,2025-12-04,2025-12-07
1113,1667,2026-04-09,Altri danni ai beni,,Lombardia,2194.45,2106.78,liquidato,2026-05-06,2026-05-16,2026-05-20
1114,4106,2023-11-13,Altri danni ai beni,,Valle d'Aosta,2353.6,2264.93,liquidato,2023-12-06,2023-12-23,2024-01-05
1115,669,2023-09-27,Altri danni ai beni,,Campania,1472.86,1291.11,liquidato,2023-10-22,2023-11-06,2023-11-21
1116,1434,2026-04-01,Incendio ed elementi naturali,,Umbria,10473.97,,aperto,,,
1117,1250,2023-11-18,RC autoveicoli terrestri,congiunto,Liguria,3970.61,4033.17,liquidato,2023-12-10,2023-12-24,2024-01-04
1118,543,2025-07-21,RC autoveicoli terrestri,unilaterale,Valle d'Aosta,4488.61,,aperto,,,
1119,3400,2024-10-23,Corpi di veicoli terrestri,,Calabria,2246.65,1902.89,liquidato,2024-11-28,2024-11-29,2024-12-06
1120,4034,2025-10-01,Incendio ed elementi naturali,,Sicilia,7202.67,7031.31,liquidato,2025-10-16,2025-10-26,2025-10-30
1121,239,2024-03-04,Incendio ed elementi naturali,,Piemonte,19492.13,19062.63,liquidato,2024-04-07,2024-04-11,2024-04-21
1122,1320,2025-11-14,Altri danni ai beni,,Valle d'Aosta,1190.24,1013.55,liquidato,2025-12-03,2025-12-20,2025-11-12
1123,2540,2025-01-24,RC autoveicoli terrestri,congiunto,Toscana,5863.15,5565.15,liquidato,2025-02-04,2025-02-23,2025-03-09
1124,714,2023-07-18,RC generale,,Veneto,14730.02,14705.65,liquidato,2023-07-31,2023-08-16,2023-08-22
1125,4291,2025-02-08,Incendio ed elementi naturali,,Molise,10469.15,9680.37,liquidato,2025-02-28,2025-03-17,2025-03-24
1126,1909,2024-04-17,RC autoveicoli terrestri,unilaterale,Lazio,7976.02,,aperto,,,
1127,606,2026-04-08,Altri danni ai beni,,Abruzzo,2295.78,,aperto,,,
1128,1142,2024-08-12,RC generale,,Veneto,9235.5,8636.02,liquidato,2024-09-20,2024-09-23,2024-10-07
1129,3032,2026-07-25,RC generale,,Basilicata,10601.21,10204.55,liquidato,2026-08-06,2026-08-19,2026-08-23
1130,2800,2024-04-10,RC generale,,Basilicata,14110.93,14039.88,liquidato,2024-04-27,2024-05-14,2024-05-26
1131,2519,2025-09-08,Incendio ed elementi naturali,,Lazio,10864.65,9706.39,liquidato,2025-11-03,2025-11-11,2025-11-14
1132,132,2026-05-01,RC generale,,Umbria,2526.58,2276.7,liquidato,2026-05-16,2026-05-28,2026-06-10
1133,2866,2024-01-31,RC generale,,Molise,5593.3,,aperto,,,
1134,2261,2024-09-11,RC autoveicoli terrestri,unilaterale,Sardegna,4657.04,,respinto,,,
1135,1605,2023-04-29,Altri danni ai beni,,Sardegna,1512.8,,aperto,,,
1136,3302,2024-07-10,Incendio ed elementi naturali,,Marche,6443.74,6339.21,liquidato,2024-07-30,2024-07-31,2024-08-13
1137,3066,2025-02-02,Corpi di veicoli terrestri,,Toscana,6010.39,5738.37,liquidato,2025-03-28,2025-04-17,2025-04-25
1138,1509,2025-11-14,RC generale,,Puglia,7064.26,6687.05,liquidato,2025-12-28,2026-01-09,2026-01-21
1139,3562,2023-06-19,RC autoveicoli terrestri,congiunto,Lombardia,9956.53,,aperto,,,
1140,2250,2026-08-04,RC autoveicoli terrestri,unilaterale,Umbria,7402.1,6233.05,liquidato,2026-09-23,2026-09-24,2026-10-05
1141,1806,2026-05-06,Corpi di veicoli terrestri,,Puglia,4010.95,3695.46,liquidato,2026-06-21,2026-06-27,2026-07-01
1142,1815,2024-10-10,Altri danni ai beni,,Emilia-Romagna,1072.18,,aperto,,,
1143,2626,2024-05-05,Corpi di veicoli terrestri,,Toscana,6924.3,,aperto,,,
1144,1515,2025-07-22,Corpi di veicoli terrestri,,Molise,7205.44,,aperto,,,
1145,386,2023-12-26,Altri danni ai beni,,Calabria,2231.27,2096.48,liquidato,2024-02-08,2024-02-10,2024-02-23
1146,1191,2024-12-21,Altri danni ai beni,,Valle d'Aosta,1112.42,1014.27,liquidato,2025-02-11,2025-02-27,2025-03-07
1147,4000,2023-12-21,Corpi di veicoli terrestri,,Puglia,6157.48,5678.26,liquidato,2024-02-09,2024-02-11,2024-02-25
1148,3554,2026-04-01,Corpi di veicoli terrestri,,Friuli-Venezia Giulia,661.56,517.98,liquidato,2026-05-15,2026-05-25,2026-05-29
1149,1905,2025-10-09,Incendio ed elementi naturali,,Trentino-Alto Adige,3319.57,,aperto,,,
1150,3409,2024-01-03,Corpi di veicoli terrestri,,Abruzzo,3640.02,3386.52,liquidato,2024-01-22,2024-02-03,2024-02-07
1151,3006,2023-12-08,Corpi di veicoli terrestri,,Marche,4854.65,4481.15,liquidato,2024-02-03,2024-02-13,2024-02-19
1152,2232,2026-07-07,RC autoveicoli terrestri,unilaterale,Lombardia,469.87,,aperto,,,
1153,4232,2026-08-17,RC autoveicoli terrestri,congiunto,Toscana,8338.93,,in_contenzioso,2026-09-16,,
1154,1170,2026-05-27,RC generale,,Friuli-Venezia Giulia,7305.08,7178.24,liquidato,2026-06-12,2026-06-13,2026-06-19
1155,576,2024-07-22,Altri danni ai beni,,Basilicata,439.25,337.97,liquidato,2024-09-20,2024-09-23,2024-10-02
1156,2068,2024-11-06,Incendio ed elementi naturali,,Marche,25469.29,24719.97,liquidato,2024-11-19,2024-11-29,2024-12-06
1157,3923,2025-01-02,Corpi di veicoli terrestri,,Lazio,3762.84,3468.71,liquidato,2025-01-21,2025-02-08,2025-02-19
1158,3229,2025-11-16,Corpi di veicoli terrestri,,Basilicata,2545.71,2422.18,liquidato,2025-12-16,2026-01-03,2025-11-08
1159,1176,2026-03-24,Incendio ed elementi naturali,,Umbria,12920.02,12371.43,liquidato,2026-04-22,2026-05-09,2026-05-18
1160,3637,2023-04-22,Corpi di veicoli terrestri,,Veneto,5082.1,5010.32,liquidato,2023-05-16,2023-05-21,2023-05-31
1161,2143,2026-08-11,Corpi di veicoli terrestri,,Friuli-Venezia Giulia,4924.63,4729.61,liquidato,2026-09-12,2026-09-23,2026-10-05
1162,3005,2023-11-08,Corpi di veicoli terrestri,,Emilia-Romagna,3200.34,2977.03,liquidato,2023-12-20,2024-01-01,2024-01-14
1163,196,2026-07-28,RC generale,,Piemonte,11752.63,11033.76,liquidato,2026-09-21,2026-09-29,2026-10-09
1164,2184,2023-08-26,RC autoveicoli terrestri,congiunto,Sicilia,7813.25,7678.95,liquidato,2023-09-07,2023-09-10,2023-09-24
1165,1182,2025-06-25,Altri danni ai beni,,Veneto,1387.61,1276.11,liquidato,2025-07-18,2025-08-02,2025-08-08
1166,2026,2023-12-29,RC generale,,Lombardia,200,0.0,liquidato,2024-02-25,2024-03-09,2024-03-15
1167,981,2026-07-25,RC autoveicoli terrestri,unilaterale,Veneto,3016.79,2790.51,liquidato,2026-09-08,2026-09-23,2026-09-30
1168,1180,2023-04-21,Altri danni ai beni,,Emilia-Romagna,2026.12,1916.19,liquidato,2023-05-28,2023-06-02,2023-06-13
1169,861,2025-01-25,Corpi di veicoli terrestri,,Lazio,200,0.0,liquidato,2025-03-04,2025-03-19,2025-03-26
